#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 6.2403E-5, 1.2705917358398438
5, 1024, 1048576, 1000, 18.639539989, 187.33199310302734
5, 1024, 1048576, 2000, 28.615688246, 236.6646499633789
5, 1024, 1048576, 3000, 32.976787597, 380.81160736083984
5, 1024, 1048576, 4000, 36.695262287, 153.17945098876953
5, 1024, 1048576, 5000, 39.510786484, 184.70110321044922
5, 1024, 1048576, 6000, 42.281101186, 180.3290786743164
5, 1024, 1048576, 7000, 44.950905615, 176.10868072509766
5, 1024, 1048576, 8000, 47.58776426, 171.7635726928711
5, 1024, 1048576, 9000, 50.295839378, 167.1313247680664
