#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 9.7854E-5, 1.2080230712890625
5, 1024, 1048576, 1000, 5.182709883, 86.4686508178711
5, 1024, 1048576, 2000, 8.244269941, 148.32849884033203
5, 1024, 1048576, 3000, 11.009513174, 81.86664581298828
5, 1024, 1048576, 4000, 13.741620149, 12.869087219238281
5, 1024, 1048576, 5000, 16.480115291, 104.87152862548828
5, 1024, 1048576, 6000, 19.215241868, 35.87397003173828
5, 1024, 1048576, 7000, 21.960886894, 127.87641143798828
5, 1024, 1048576, 8000, 24.732548619, 58.87885284423828
5, 1024, 1048576, 9000, 27.461144156, 150.88129425048828
