#tm, #states, #transitions, steps, time(s), memory(MB)
4, 256, 65536, 0, 1.2069E-5, 1.2602691650390625
4, 256, 65536, 10, 0.052497368, 2.2243499755859375
4, 256, 65536, 20, 0.107762359, 2.86590576171875
4, 256, 65536, 30, 0.161252665, 3.23614501953125
4, 256, 65536, 40, 0.222322698, 3.899261474609375
4, 256, 65536, 50, 0.276344335, 10.663833618164062
4, 256, 65536, 60, 0.331441775, 20.165786743164062
4, 256, 65536, 70, 0.385182739, 29.663833618164062
4, 256, 65536, 80, 0.441101958, 39.16578674316406
4, 256, 65536, 90, 0.493435545, 9.441490173339844
4, 256, 65536, 100, 0.546268714, 18.441490173339844
4, 256, 65536, 110, 0.598614767, 27.943443298339844
4, 256, 65536, 120, 0.652726748, 37.441490173339844
4, 256, 65536, 130, 0.707798954, 8.03314208984375
4, 256, 65536, 140, 0.759778249, 17.53118896484375
4, 256, 65536, 150, 0.813143634, 27.03314208984375
4, 256, 65536, 160, 0.863914152, 36.53118896484375
4, 256, 65536, 170, 0.917360639, 7.129005432128906
4, 256, 65536, 180, 0.968163769, 16.627052307128906
4, 256, 65536, 190, 1.020762008, 25.627052307128906
4, 256, 65536, 200, 1.071570306, 35.129005432128906
4, 256, 65536, 210, 1.124407279, 5.735557556152344
4, 256, 65536, 220, 1.175188429, 15.237510681152344
4, 256, 65536, 230, 1.226785431, 24.735557556152344
4, 256, 65536, 240, 1.276839852, 34.237510681152344
4, 256, 65536, 250, 1.329328373, 4.520851135253906
4, 256, 65536, 260, 1.379031262, 14.022804260253906
4, 256, 65536, 270, 1.430950133, 23.520851135253906
4, 256, 65536, 280, 1.480511544, 32.520851135253906
4, 256, 65536, 290, 1.534839952, 3.0927810668945312
4, 256, 65536, 300, 1.585682546, 12.590827941894531
4, 256, 65536, 310, 1.637373975, 22.09278106689453
4, 256, 65536, 320, 1.68778703, 31.59082794189453
4, 256, 65536, 330, 1.740158001, 2.1885910034179688
4, 256, 65536, 340, 1.790155981, 11.686637878417969
4, 256, 65536, 350, 1.841645367, 21.18859100341797
4, 256, 65536, 360, 1.891188377, 30.68663787841797
4, 256, 65536, 370, 1.942587445, 39.68663787841797
4, 256, 65536, 380, 1.99247269, 9.962913513183594
4, 256, 65536, 390, 2.043539127, 19.460960388183594
4, 256, 65536, 400, 2.092490159, 28.962913513183594
4, 256, 65536, 410, 2.144068387, 38.460960388183594
4, 256, 65536, 420, 2.193987657, 9.063209533691406
4, 256, 65536, 430, 2.246591516, 18.561256408691406
4, 256, 65536, 440, 2.296395528, 28.063209533691406
4, 256, 65536, 450, 2.348297652, 37.561256408691406
4, 256, 65536, 460, 2.39810476, 7.652191162109375
4, 256, 65536, 470, 2.449842302, 17.154144287109375
4, 256, 65536, 480, 2.498542517, 26.652191162109375
4, 256, 65536, 490, 2.549888112, 36.154144287109375
4, 256, 65536, 500, 2.599675623, 6.763786315917969
4, 256, 65536, 510, 2.650589262, 16.26573944091797
4, 256, 65536, 520, 2.699103055, 25.76378631591797
4, 256, 65536, 530, 2.750538027, 35.26573944091797
4, 256, 65536, 540, 2.801416405, 5.536476135253906
4, 256, 65536, 550, 2.852808158, 14.536476135253906
4, 256, 65536, 560, 2.90226952, 24.038429260253906
4, 256, 65536, 570, 2.953742547, 33.536476135253906
4, 256, 65536, 580, 3.004123789, 4.128746032714844
4, 256, 65536, 590, 3.055497745, 13.626792907714844
4, 256, 65536, 600, 3.105034182, 23.128746032714844
4, 256, 65536, 610, 3.155264567, 32.626792907714844
4, 256, 65536, 620, 3.206279852, 3.2329025268554688
4, 256, 65536, 630, 3.255153877, 12.730949401855469
4, 256, 65536, 640, 3.304708912, 21.73094940185547
4, 256, 65536, 650, 3.354009856, 31.23290252685547
4, 256, 65536, 660, 3.403660376, 40.73094940185547
4, 256, 65536, 670, 3.454740551, 11.027717590332031
4, 256, 65536, 680, 3.504222641, 20.52576446533203
4, 256, 65536, 690, 3.555181833, 30.02771759033203
4, 256, 65536, 700, 3.606333919, 39.52576446533203
4, 256, 65536, 710, 3.658139251, 10.09503173828125
4, 256, 65536, 720, 3.709715903, 19.59307861328125
4, 256, 65536, 730, 3.762343202, 28.59307861328125
4, 256, 65536, 740, 3.814667461, 38.09503173828125
4, 256, 65536, 750, 3.867890534, 8.705299377441406
4, 256, 65536, 760, 3.920186478, 18.207252502441406
4, 256, 65536, 770, 3.972452799, 27.705299377441406
4, 256, 65536, 780, 4.024682464, 37.207252502441406
4, 256, 65536, 790, 4.076131562, 7.472679138183594
4, 256, 65536, 800, 4.127094377, 16.974632263183594
4, 256, 65536, 810, 4.177906482, 26.472679138183594
4, 256, 65536, 820, 4.228820228, 35.472679138183594
4, 256, 65536, 830, 4.280500217, 6.061195373535156
4, 256, 65536, 840, 4.331436789, 15.559242248535156
4, 256, 65536, 850, 4.382222343, 25.061195373535156
