#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 7.916E-5, 1.2081069946289062
5, 1024, 1048576, 1000, 25.939214523, 31.361373901367188
5, 1024, 1048576, 2000, 49.055682049, 31.35626220703125
5, 1024, 1048576, 3000, 72.590832745, 31.35157012939453
5, 1024, 1048576, 4000, 96.439844609, 31.346725463867188
5, 1024, 1048576, 5000, 119.927383304, 31.341842651367188
5, 1024, 1048576, 6000, 143.228314996, 31.839370727539062
5, 1024, 1048576, 7000, 165.694433692, 31.83441162109375
5, 1024, 1048576, 8000, 188.865389354, 31.783065795898438
5, 1024, 1048576, 9000, 211.373440207, 31.779434204101562
