#tm, #states, #transitions, steps, time(s), memory(MB)
4, 256, 65536, 0, 3.1328E-5, 1.2573471069335938
4, 256, 65536, 10, 0.067239848, 2.821868896484375
4, 256, 65536, 20, 0.120692114, 2.8590087890625
4, 256, 65536, 30, 0.174863139, 2.9502639770507812
4, 256, 65536, 40, 0.23460671, 3.3069381713867188
4, 256, 65536, 50, 0.296653741, 12.306938171386719
4, 256, 65536, 60, 0.357141475, 21.30693817138672
4, 256, 65536, 70, 0.418728875, 30.30693817138672
4, 256, 65536, 80, 0.481127436, 39.30693817138672
4, 256, 65536, 90, 0.542151095, 10.270195007324219
4, 256, 65536, 100, 0.603396809, 19.77214813232422
4, 256, 65536, 110, 0.664991504, 28.77214813232422
4, 256, 65536, 120, 0.725504707, 37.77214813232422
4, 256, 65536, 130, 0.787182769, 8.764419555664062
4, 256, 65536, 140, 0.847561693, 17.764419555664062
4, 256, 65536, 150, 0.908250504, 26.764419555664062
4, 256, 65536, 160, 0.967182542, 35.76441955566406
4, 256, 65536, 170, 1.024733773, 6.754951477050781
4, 256, 65536, 180, 1.079895885, 15.754951477050781
4, 256, 65536, 190, 1.133900611, 24.75495147705078
4, 256, 65536, 200, 1.187218225, 34.25299835205078
4, 256, 65536, 210, 1.23971282, 5.2384185791015625
4, 256, 65536, 220, 1.291476279, 14.238418579101562
4, 256, 65536, 230, 1.34214438, 23.238418579101562
4, 256, 65536, 240, 1.392581472, 32.23841857910156
4, 256, 65536, 250, 1.443467895, 3.5625
4, 256, 65536, 260, 1.493109895, 12.5625
4, 256, 65536, 270, 1.541784685, 21.5625
4, 256, 65536, 280, 1.590829579, 30.5625
4, 256, 65536, 290, 1.640288589, 2.0742950439453125
4, 256, 65536, 300, 1.689258323, 11.074295043945312
4, 256, 65536, 310, 1.736689225, 20.074295043945312
4, 256, 65536, 320, 1.785234127, 29.074295043945312
4, 256, 65536, 330, 1.832903586, 38.07429504394531
4, 256, 65536, 340, 1.881974299, 9.061569213867188
4, 256, 65536, 350, 1.929349275, 18.061569213867188
4, 256, 65536, 360, 1.977702382, 27.061569213867188
4, 256, 65536, 370, 2.025238229, 36.06156921386719
4, 256, 65536, 380, 2.074429273, 7.567840576171875
4, 256, 65536, 390, 2.123579334, 16.567840576171875
4, 256, 65536, 400, 2.171691282, 25.567840576171875
4, 256, 65536, 410, 2.218708969, 34.567840576171875
4, 256, 65536, 420, 2.267544828, 5.5636444091796875
4, 256, 65536, 430, 2.315327331, 14.563644409179688
4, 256, 65536, 440, 2.363092821, 23.563644409179688
4, 256, 65536, 450, 2.410573859, 32.56364440917969
4, 256, 65536, 460, 2.458163899, 3.5287628173828125
4, 256, 65536, 470, 2.506593392, 12.528762817382812
4, 256, 65536, 480, 2.553238135, 22.030715942382812
4, 256, 65536, 490, 2.601572182, 31.030715942382812
4, 256, 65536, 500, 2.648983376, 2.0517578125
4, 256, 65536, 510, 2.696904026, 11.0517578125
4, 256, 65536, 520, 2.743540905, 20.0517578125
4, 256, 65536, 530, 2.791518848, 29.0517578125
4, 256, 65536, 540, 2.838356907, 38.0517578125
4, 256, 65536, 550, 2.887243629, 9.042526245117188
4, 256, 65536, 560, 2.93484252, 18.042526245117188
4, 256, 65536, 570, 2.982984781, 27.540573120117188
4, 256, 65536, 580, 3.030249978, 36.54057312011719
4, 256, 65536, 590, 3.079281651, 7.5346221923828125
4, 256, 65536, 600, 3.126349841, 16.534622192382812
4, 256, 65536, 610, 3.173347546, 25.534622192382812
4, 256, 65536, 620, 3.221039609, 34.53462219238281
4, 256, 65536, 630, 3.26915613, 5.526145935058594
4, 256, 65536, 640, 3.317030136, 14.526145935058594
4, 256, 65536, 650, 3.363554638, 23.526145935058594
4, 256, 65536, 660, 3.411785919, 33.028099060058594
4, 256, 65536, 670, 3.459211126, 4.019203186035156
4, 256, 65536, 680, 3.507380907, 13.019203186035156
4, 256, 65536, 690, 3.554148741, 22.019203186035156
4, 256, 65536, 700, 3.602151688, 31.019203186035156
4, 256, 65536, 710, 3.650607994, 2.012664794921875
4, 256, 65536, 720, 3.698882805, 11.012664794921875
4, 256, 65536, 730, 3.745557331, 20.012664794921875
4, 256, 65536, 740, 3.793738174, 29.012664794921875
4, 256, 65536, 750, 3.840329551, 38.012664794921875
4, 256, 65536, 760, 3.88903543, 9.503753662109375
4, 256, 65536, 770, 3.935944512, 18.503753662109375
4, 256, 65536, 780, 3.983676573, 27.503753662109375
4, 256, 65536, 790, 4.030730899, 36.503753662109375
4, 256, 65536, 800, 4.079025537, 7.4976348876953125
4, 256, 65536, 810, 4.125920891, 16.497634887695312
4, 256, 65536, 820, 4.172534628, 25.497634887695312
4, 256, 65536, 830, 4.220499176, 34.49763488769531
4, 256, 65536, 840, 4.26804402, 5.4908447265625
4, 256, 65536, 850, 4.316178831, 14.9927978515625
4, 256, 65536, 860, 4.362538354, 23.9927978515625
4, 256, 65536, 870, 4.410884328, 32.9927978515625
4, 256, 65536, 880, 4.458340255, 3.98583984375
4, 256, 65536, 890, 4.506556809, 12.98583984375
4, 256, 65536, 900, 4.553334885, 21.98583984375
4, 256, 65536, 910, 4.602503696, 30.98583984375
4, 256, 65536, 920, 4.650886395, 1.9788818359375
4, 256, 65536, 930, 4.699153348, 10.9788818359375
4, 256, 65536, 940, 4.74674319, 19.9788818359375
4, 256, 65536, 950, 4.794372906, 29.4769287109375
4, 256, 65536, 960, 4.841711161, 38.4769287109375
4, 256, 65536, 970, 4.889474138, 9.469718933105469
4, 256, 65536, 980, 4.937463791, 18.46971893310547
4, 256, 65536, 990, 4.985222132, 27.46971893310547
4, 256, 65536, 1000, 5.033160569, 36.46971893310547
4, 256, 65536, 1010, 5.081873995, 7.4443817138671875
4, 256, 65536, 1020, 5.130551954, 16.444381713867188
4, 256, 65536, 1030, 5.17803053, 25.444381713867188
4, 256, 65536, 1040, 5.226772179, 34.94633483886719
4, 256, 65536, 1050, 5.274952153, 5.94000244140625
4, 256, 65536, 1060, 5.32356679, 14.94000244140625
4, 256, 65536, 1070, 5.37093441, 23.94000244140625
4, 256, 65536, 1080, 5.419580587, 32.94000244140625
4, 256, 65536, 1090, 5.467955099, 3.951385498046875
4, 256, 65536, 1100, 5.516400042, 12.951385498046875
4, 256, 65536, 1110, 5.563859237, 21.951385498046875
4, 256, 65536, 1120, 5.61183671, 30.951385498046875
4, 256, 65536, 1130, 5.659215526, 2.4423065185546875
4, 256, 65536, 1140, 5.707058001, 11.442306518554688
4, 256, 65536, 1150, 5.7537893, 20.442306518554688
4, 256, 65536, 1160, 5.801440404, 29.442306518554688
4, 256, 65536, 1170, 5.848535954, 38.44230651855469
4, 256, 65536, 1180, 5.896906522, 9.419891357421875
4, 256, 65536, 1190, 5.943765459, 18.419891357421875
4, 256, 65536, 1200, 5.990697325, 27.419891357421875
4, 256, 65536, 1210, 6.038152503, 36.419891357421875
4, 256, 65536, 1220, 6.085962882, 7.428474426269531
4, 256, 65536, 1230, 6.135019162, 16.93042755126953
