#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 1.03223E-4, 1.2686691284179688
5, 1024, 1048576, 1000, 23.09898147, 34.501731872558594
5, 1024, 1048576, 2000, 44.878488609, 34.50279235839844
5, 1024, 1048576, 3000, 66.729057201, 34.503746032714844
5, 1024, 1048576, 4000, 88.508310049, 35.109100341796875
5, 1024, 1048576, 5000, 110.312364045, 35.00963592529297
5, 1024, 1048576, 6000, 132.154541536, 35.01068115234375
5, 1024, 1048576, 7000, 153.949351523, 35.0115966796875
5, 1024, 1048576, 8000, 175.945182005, 34.90631103515625
5, 1024, 1048576, 9000, 197.87742981, 34.90875244140625
