#tm, #states, #transitions, steps, time(s), memory(MB)
4, 256, 65536, 0, 0.908127822, 110.04922485351562
4, 256, 65536, 10, 0.909006363, 110.54727172851562
4, 256, 65536, 20, 0.909884789, 110.54727172851562
4, 256, 65536, 30, 0.910856245, 110.54727172851562
4, 256, 65536, 40, 0.911541037, 110.54727172851562
4, 256, 65536, 50, 0.912187496, 110.54922485351562
4, 256, 65536, 60, 0.912873018, 110.54922485351562
4, 256, 65536, 70, 0.913519017, 110.54922485351562
4, 256, 65536, 80, 0.914269812, 110.54922485351562
4, 256, 65536, 90, 0.914962486, 110.54922485351562
4, 256, 65536, 100, 0.915651792, 110.54922485351562
4, 256, 65536, 110, 0.916339501, 111.04922485351562
4, 256, 65536, 120, 0.916973299, 111.04922485351562
4, 256, 65536, 130, 0.917627847, 111.04922485351562
4, 256, 65536, 140, 0.918310212, 111.04922485351562
4, 256, 65536, 150, 0.918969, 111.04922485351562
4, 256, 65536, 160, 0.919623751, 111.04922485351562
4, 256, 65536, 170, 0.920250405, 111.04922485351562
4, 256, 65536, 180, 0.920918723, 111.04922485351562
4, 256, 65536, 190, 0.921566794, 111.04922485351562
4, 256, 65536, 200, 0.922238351, 111.54727172851562
4, 256, 65536, 210, 0.922901487, 111.54727172851562
4, 256, 65536, 220, 0.923549574, 111.54727172851562
4, 256, 65536, 230, 0.924216437, 111.54727172851562
4, 256, 65536, 240, 0.924866364, 111.54727172851562
4, 256, 65536, 250, 0.925514793, 111.54727172851562
4, 256, 65536, 260, 0.926160706, 111.54727172851562
4, 256, 65536, 270, 0.926807458, 111.54727172851562
4, 256, 65536, 280, 0.927485716, 111.54727172851562
4, 256, 65536, 290, 0.928149542, 111.54727172851562
4, 256, 65536, 300, 0.928871153, 112.04922485351562
4, 256, 65536, 310, 0.929490215, 112.04922485351562
4, 256, 65536, 320, 0.930189937, 112.04922485351562
4, 256, 65536, 330, 0.930831571, 112.04922485351562
4, 256, 65536, 340, 0.93150531, 112.04922485351562
4, 256, 65536, 350, 0.932174857, 112.04922485351562
4, 256, 65536, 360, 0.932833095, 112.04922485351562
4, 256, 65536, 370, 0.933486009, 112.04922485351562
4, 256, 65536, 380, 0.93415791, 112.04922485351562
4, 256, 65536, 390, 0.934809604, 112.54727172851562
4, 256, 65536, 400, 0.935480708, 112.54727172851562
4, 256, 65536, 410, 0.936139585, 112.54727172851562
4, 256, 65536, 420, 0.936820155, 112.54727172851562
4, 256, 65536, 430, 0.937502438, 112.54727172851562
4, 256, 65536, 440, 0.938213582, 112.54727172851562
4, 256, 65536, 450, 0.938901039, 112.54727172851562
4, 256, 65536, 460, 0.939572411, 112.54727172851562
4, 256, 65536, 470, 0.940242768, 112.54727172851562
4, 256, 65536, 480, 0.940906166, 112.54727172851562
4, 256, 65536, 490, 0.941570865, 113.04922485351562
4, 256, 65536, 500, 0.942256817, 113.04922485351562
4, 256, 65536, 510, 0.942891603, 113.04922485351562
4, 256, 65536, 520, 0.943548698, 113.04922485351562
4, 256, 65536, 530, 0.944195978, 113.04922485351562
4, 256, 65536, 540, 0.944846228, 113.04922485351562
4, 256, 65536, 550, 0.945509219, 113.04922485351562
4, 256, 65536, 560, 0.946145672, 113.04922485351562
4, 256, 65536, 570, 0.946817152, 113.04922485351562
4, 256, 65536, 580, 0.947441706, 113.54727172851562
4, 256, 65536, 590, 0.948156679, 113.54727172851562
4, 256, 65536, 600, 0.948856704, 113.54727172851562
4, 256, 65536, 610, 0.949503095, 113.54727172851562
4, 256, 65536, 620, 0.950192224, 113.54727172851562
4, 256, 65536, 630, 0.95087291, 113.54727172851562
4, 256, 65536, 640, 0.951558621, 113.54727172851562
4, 256, 65536, 650, 0.952270178, 113.54727172851562
4, 256, 65536, 660, 0.952966974, 113.54727172851562
4, 256, 65536, 670, 0.9536742, 113.54727172851562
