#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 13.996111306, 1734.6073455810547
5, 1024, 1048576, 1000, 14.382340058, 1758.1053924560547
5, 1024, 1048576, 2000, 14.706285964, 1778.1053924560547
5, 1024, 1048576, 3000, 15.101670901, 1798.1053924560547
5, 1024, 1048576, 4000, 15.52738512, 1748.3806457519531
5, 1024, 1048576, 5000, 15.938930812, 1768.3826141357422
5, 1024, 1048576, 6000, 16.353164021, 1788.3806457519531
5, 1024, 1048576, 7000, 16.764892779, 1807.8786926269531
5, 1024, 1048576, 8000, 17.132658352, 1746.718521118164
5, 1024, 1048576, 9000, 17.40568795, 1766.718521118164
