#tm, #states, #transitions, steps, time(s), memory(MB)
4, 256, 65536, 0, 0.903690442, 109.3232192993164
4, 256, 65536, 10, 0.904174798, 109.3232192993164
4, 256, 65536, 20, 0.9045441, 109.3232192993164
4, 256, 65536, 30, 0.90492974, 109.3232192993164
4, 256, 65536, 40, 0.905297134, 109.3232192993164
4, 256, 65536, 50, 0.90566447, 109.3232192993164
4, 256, 65536, 60, 0.90603418, 109.3232192993164
4, 256, 65536, 70, 0.906402306, 109.3232192993164
4, 256, 65536, 80, 0.906778077, 109.3232192993164
4, 256, 65536, 90, 0.907151498, 109.8251724243164
4, 256, 65536, 100, 0.907519291, 109.8251724243164
4, 256, 65536, 110, 0.907893554, 109.8251724243164
4, 256, 65536, 120, 0.908261903, 109.8251724243164
4, 256, 65536, 130, 0.908632334, 109.8251724243164
4, 256, 65536, 140, 0.909002109, 109.8251724243164
4, 256, 65536, 150, 0.909370163, 110.3232192993164
4, 256, 65536, 160, 0.909740246, 110.3232192993164
4, 256, 65536, 170, 0.910108595, 110.3232192993164
4, 256, 65536, 180, 0.910478439, 110.3251724243164
4, 256, 65536, 190, 0.910847608, 110.8251724243164
4, 256, 65536, 200, 0.911215438, 110.8251724243164
4, 256, 65536, 210, 0.911597418, 110.8251724243164
4, 256, 65536, 220, 0.911975415, 110.8251724243164
4, 256, 65536, 230, 0.912348461, 110.8251724243164
4, 256, 65536, 240, 0.912718157, 110.8251724243164
4, 256, 65536, 250, 0.913096492, 110.8251724243164
4, 256, 65536, 260, 0.913468666, 110.8251724243164
4, 256, 65536, 270, 0.913840118, 110.8251724243164
4, 256, 65536, 280, 0.914221783, 111.3232192993164
4, 256, 65536, 290, 0.914604167, 111.3232192993164
4, 256, 65536, 300, 0.914988078, 111.3232192993164
4, 256, 65536, 310, 0.915360847, 111.3232192993164
4, 256, 65536, 320, 0.915746579, 111.3232192993164
4, 256, 65536, 330, 0.916121237, 111.3232192993164
4, 256, 65536, 340, 0.916493933, 111.3232192993164
4, 256, 65536, 350, 0.916866881, 111.3232192993164
4, 256, 65536, 360, 0.917243228, 111.3232192993164
4, 256, 65536, 370, 0.917616847, 111.3232192993164
4, 256, 65536, 380, 0.917999083, 111.8251724243164
