#tm, #states, #transitions, steps, time(s), memory(MB)
5, 1024, 1048576, 0, 14.291596884, 1738.1073303222656
5, 1024, 1048576, 1000, 14.475213233, 1749.1073303222656
5, 1024, 1048576, 2000, 14.619074699, 1767.6053771972656
5, 1024, 1048576, 3000, 14.756064195, 1786.1092987060547
5, 1024, 1048576, 4000, 14.870403587, 1804.6053771972656
5, 1024, 1048576, 5000, 14.983065524, 1745.6544494628906
5, 1024, 1048576, 6000, 15.091722587, 1764.1564025878906
5, 1024, 1048576, 7000, 15.200422782, 1782.1564025878906
5, 1024, 1048576, 8000, 15.308958474, 1800.6544494628906
5, 1024, 1048576, 9000, 15.418498686, 1819.1564025878906
